anonid,obsnum,behavior-ontask,behavior-ontaskconv,behavior-offtask,affect-frustrated,affect-concentrating,affect-confused,affect-bored
student48,1,1,0,0,0,1,0,0
student48,2,1,0,0,0,1,0,0
student48,3,0,0,1,0,0,0,0
student48,4,1,0,0,0,1,0,0
student48,5,1,0,0,0,1,0,0
student48,6,1,0,0,0,0,0,0
student48,7,0,1,0,0,1,0,0
student48,8,1,0,0,0,1,0,0
student49,1,0,0,0,0,0,0,0
student49,2,0,1,0,0,0,0,0
student49,3,0,0,0,0,0,0,0
student49,4,1,0,0,0,0,1,0
student49,5,0,0,0,0,0,0,0
student49,6,0,0,0,0,0,0,0
student50,1,1,0,0,0,1,0,0
student50,2,0,1,0,1,0,0,0
student50,3,1,0,0,0,1,0,0
student50,4,0,1,0,0,1,0,0
student50,5,1,0,0,0,1,0,0
student50,6,1,0,0,0,1,0,0
student50,7,1,0,0,0,1,0,0
student50,8,1,0,0,1,0,0,0
student50,9,1,0,0,0,0,0,1
student50,10,1,0,0,0,1,0,0
student50,11,1,0,0,0,1,0,0
student50,12,0,0,1,0,0,0,0
student50,13,1,0,0,0,1,0,0
student50,14,0,0,0,0,0,0,0
student50,15,1,0,0,0,1,0,0
student50,16,1,0,0,0,1,0,0
student50,17,1,0,0,0,1,0,0
student50,18,1,0,0,0,1,0,0
student51,1,0,1,0,0,1,0,0
student51,2,0,1,0,0,0,1,0
student51,3,0,1,0,1,0,0,0
student51,4,0,1,0,0,1,0,0
student51,5,0,1,0,0,1,0,0
student51,6,1,0,0,0,0,1,0
student51,7,0,1,0,0,0,0,0
student51,8,0,1,0,0,1,0,0
student51,9,1,0,0,0,1,0,0
student52,1,0,1,0,0,1,0,0
student52,2,1,0,0,0,1,0,0
student52,3,1,0,0,0,1,0,0
student52,4,0,1,0,0,0,1,0
student52,5,1,0,0,0,1,0,0
student52,6,0,0,1,0,0,0,0
student53,1,0,0,0,0,0,0,0
student53,2,0,0,0,0,0,0,0
student53,3,0,0,0,0,0,0,0
student53,4,0,0,0,0,0,0,0
student53,5,0,0,0,0,0,0,0
student53,6,0,0,0,0,0,0,0
student53,7,0,0,0,0,0,0,0
student53,8,0,0,0,0,0,0,0
student53,9,0,0,0,0,0,0,0
student53,10,0,0,0,0,0,0,0
student53,11,0,0,0,0,0,0,0
student53,12,0,0,0,0,0,0,0
student53,13,0,0,0,0,0,0,0
student54,1,1,0,0,0,1,0,0
student54,2,1,0,0,0,1,0,0
student54,3,1,0,0,0,1,0,0
student54,4,1,0,0,0,1,0,0
student54,5,1,0,0,0,1,0,0
student54,6,1,0,0,0,1,0,0
student54,7,1,0,0,0,1,0,0
student54,8,1,0,0,0,1,0,0
student54,9,1,0,0,0,1,0,0
student54,10,1,0,0,0,1,0,0
student54,11,1,0,0,0,1,0,0
student54,12,0,0,0,0,0,0,0
student55,1,0,1,0,0,1,0,0
student55,2,0,1,0,0,1,0,0
student55,3,1,0,0,0,1,0,0
student55,4,0,0,1,0,0,0,0
student55,5,0,0,1,0,0,0,0
student55,6,0,1,0,0,0,1,0
student55,7,0,1,0,0,1,0,0
student55,8,1,0,0,0,1,0,0
student55,9,1,0,0,0,1,0,0
student55,10,1,0,0,0,1,0,0
student55,11,1,0,0,0,1,0,0
student55,12,1,0,0,0,1,0,0
student55,13,1,0,0,0,1,0,0
student55,14,1,0,0,0,1,0,0
